Stock,Accuracy,Sharpe Ratio,Max Drawdown (%)
HDFC Bank,0.48,-0.09,40.74
Reliance,0.49,0.17,30.01
Infosys,0.48,0.16,27.8
ITC,0.49,-0.03,34.63
Tata Motors,0.51,-0.31,79.41
Sun Pharma,0.49,-0.17,43.18
L&T,0.5,-0.27,45.95
Bharti Airtel,0.5,0.49,15.71
Bajaj Finance,0.48,-0.23,64.39
Tata Chemicals,0.48,-0.6,73.54
