Stock,Accuracy,Sharpe Ratio,Max Drawdown (%)
HDFC Bank,0.48,0.08,13.45
Reliance,0.48,-0.58,49.49
Infosys,0.48,-0.09,26.22
ITC,0.5,0.14,18.84
Tata Motors,0.5,-0.31,52.69
Sun Pharma,0.49,-0.02,32.55
L&T,0.5,-0.09,31.2
Bharti Airtel,0.5,0.36,17.15
Bajaj Finance,0.48,-0.2,32.93
Tata Chemicals,0.48,0.52,16.42
