Date,Close,High,Low,Open,Volume
1/1/2014,284.097412109375,285.14886026400967,277.7467689305167,278.41968891375967,1883623
1/2/2014,276.4850769042969,285.1489015823105,274.6345609233274,284.30776572246543,5276461
1/3/2014,277.0318298339844,279.17676622074424,272.57376975813537,275.89630208305033,4701341
1/6/2014,277.0318298339844,278.12531787988235,274.0037178552469,276.3168700265211,2704888
1/7/2014,279.008544921875,281.36376547425067,274.6345923782218,277.9991931673299,4110547
1/8/2014,279.5973815917969,280.9432220249437,275.64399668107046,280.10208599532183,6305970
1/9/2014,277.24212646484375,280.1020512718386,275.2654342545257,279.59734693088046,3730440
1/10/2014,278.04119873046875,280.22817473371975,275.0551265776656,275.0551265776656,3787879
1/13/2014,278.41973876953125,280.77493065043876,276.7795066974826,277.5785743987628,2555309
1/14/2014,275.8542785644531,279.2609193332569,274.2140462300061,278.41978331011165,2474603
1/15/2014,278.84033203125,280.27028026098554,276.9056794367915,277.4944917015724,2800811
1/16/2014,265.4239501953125,280.0599169099206,263.7416502599243,280.0599169099206,10508913
1/17/2014,261.5126953,267.94744776861705,257.60135061924865,265.8025397773067,6504517
1/20/2014,259.5359802246094,263.11086493009793,258.3583842134518,261.68091674433987,5217898
1/21/2014,256.46575927734375,261.59676744380306,254.57317523175408,261.59676744380306,7842351
1/22/2014,260.54534912109375,262.2697175963638,256.7181408894695,256.7181408894695,5951157
1/23/2014,264.6669616699219,265.7184099665841,257.72750544781286,259.91448144767503,5278619
1/24/2014,263.40521240234375,264.75105246372254,258.8630164362812,263.2790648184987,5058323
1/27/2014,258.1481018066406,262.5641224782085,255.58259730168527,258.989237750868,5568181
1/28/2014,257.39105224609375,260.33505628699896,254.15262786356882,258.14808022905885,5757925
1/29/2014,253.9423828,264.7511171633304,253.14328652050128,260.7556641855256,8611443
1/30/2014,259.6201172,261.302389069451,252.42830805272442,254.0264720370152,9410790
1/31/2014,264.96142578125,266.012874364661,259.9986602426727,260.755688411989,3675441
2/3/2014,257.264892578125,263.36321349957944,255.54055253372834,263.36321349957944,4028120
2/4/2014,266.0127868652344,267.23245087078055,251.88152306700692,254.78345868115562,7637040
2/5/2014,264.37255859375,267.2324833366249,261.9332587684914,266.55956321855854,5097413
2/6/2014,265.0455322265625,268.70452503330705,262.8585273951995,264.5408278492524,7592592
2/7/2014,265.4239501953125,267.69506222863146,258.61067105971466,264.75103022115724,9224604
2/10/2014,258.23223876953125,264.7931967123986,256.80229041408694,264.7931967123986,10467267
2/11/2014,256.2134704589844,258.27429926435383,252.00773342549024,256.54993056095145,11167787
2/12/2014,259.0312805175781,259.4939166343712,253.73205623180442,256.6340205260664,7256213
2/13/2014,254.78343200683594,260.8397116996043,253.26937632473346,258.610667872955,3673969
2/14/2014,256.8863220214844,267.0642017836673,254.02642616003854,255.70872622035424,14159920
2/17/2014,256.2554931640625,261.51267776381013,254.86761329118218,261.4706095777109,3867756
2/18/2014,254.23675537109375,259.62011652254654,251.88156334951992,258.2322080448676,7408301
2/19/2014,254.4890594482422,257.1386713333872,253.47967942311342,254.0264233764522,2544886
2/20/2014,249.73660278320312,255.70874712389525,249.10575088983234,255.70874712389525,4785876
2/21/2014,242.37655639648438,250.998312078825,240.6521881707074,250.24125569745087,6257760
2/24/2014,237.87640380859375,245.61495564495922,237.11937589797697,243.84854769279278,7194628
2/25/2014,241.49334716796875,243.4279995249473,238.71757319037758,238.71757319037758,5895280
2/26/2014,242.41864013671875,245.53088866272495,239.81109595665225,241.61954391043864,8052633
2/28/2014,241.91397094726562,245.9094237067125,238.2970322166233,243.93270294016062,5039929
3/3/2014,241.1148681640625,244.6897528481915,239.81109607339457,244.26915639897481,3743907
3/4/2014,241.7036590576172,244.68973123483337,240.4419267857887,242.6709709927814,4211396
3/5/2014,237.83436584472656,244.2691319994353,237.1193918275367,244.2691319994353,8474738
3/6/2014,240.4419403076172,240.98868434364738,238.46524814026296,238.88581609379608,8311773
3/7/2014,253.9423828,257.180807691323,241.8719159752406,242.250444265826,14249287
3/10/2014,256.6760559082031,260.67150814824083,253.1012000741038,253.9844041068623,10134303
3/11/2014,254.90968322753906,258.0219318668398,251.33482689720216,258.0219318668398,4448609
3/12/2014,252.47035217285156,258.232213219356,250.74601207084103,256.5499128258169,4115516
3/13/2014,253.10116577148438,255.666641151565,250.6618379656866,253.18527364839952,2283999
3/14/2014,248.138427734375,254.27881676304764,244.2271115447974,252.84886861596777,4199008
3/18/2014,248.2225799560547,251.50304441777695,247.04495541939454,250.24131198055187,3444084
3/19/2014,252.09181213378906,253.94232803011377,248.64310399824117,249.7786601428375,5211552
3/20/2014,248.5590362548828,255.7928852370489,248.13843979408838,251.54510877805527,3582627
3/21/2014,245.99351501464844,252.34415941784422,245.236487008098,251.75537568063024,5050188
3/24/2014,247.2552032470703,250.45158782289565,245.78321551482742,248.1384072792895,5319891
3/25/2014,248.01229858398438,249.31607074417335,243.55420953849892,247.29731021615862,7649439
3/26/2014,251.12445068359375,251.9235467361368,248.1383788932952,249.40011100163585,7887921
3/27/2014,261.344482421875,265.38200368454216,251.96569615181502,253.60592848395248,14322728
3/28/2014,266.9801025390625,269.08297056194783,260.4191463326492,261.5967706540618,5662000
3/31/2014,267.2745056152344,275.2233704313214,265.67634180067284,268.74652183779625,6532401
4/1/2014,265.2557678222656,270.34470796583764,262.43791151562294,267.48481195688225,3162658
4/2/2014,274.0878906,276.31693543163914,268.3680968826599,269.1671647715223,6702502
4/3/2014,269.7558594,276.4850305726803,268.70443972638395,276.4850305726803,4881760
4/4/2014,265.9707946777344,270.849423089262,264.9613859607591,270.5970709100182,2500822
4/7/2014,267.0221862792969,268.91477045837274,264.1202219725683,265.9707379655062,3700298
4/9/2014,269.2511901855469,270.00821804738945,266.72772600316495,267.6109299223446,4273679
4/10/2014,268.956787109375,273.1625230396852,266.0127833510306,270.00823533304344,7003435
4/11/2014,271.0596923828125,272.48964051735953,265.9287120702094,267.4848362875378,5656050
4/15/2014,273.5831298828125,277.91504249521654,269.6718137090599,269.6718137090599,7037546
4/16/2014,272.2792969,277.5785202974774,270.42878119147923,274.2139489167286,2618016
4/17/2014,273.8354797363281,274.97103599494113,270.008271489762,273.37284359524983,2780516
