Date,Close,High,Low,Open,Volume
1/1/2014,302.4177551269531,304.531911986092,301.440222941877,303.7135277906091,2246218
1/2/2014,298.71221923828125,306.7824504277478,297.14363354153625,302.34950653494224,3614496
1/3/2014,301.48565673828125,302.8041845579484,295.52960955355326,296.4389314291027,3256592
1/6/2014,300.8491516113281,301.44020528732136,298.71223962861256,301.44020528732136,2981710
1/7/2014,302.0766906738281,305.05471379807307,297.0299384076533,303.3042528126167,3948460
1/8/2014,302.2131042480469,303.236091267861,300.07619247881973,302.44043469689444,2324740
1/9/2014,301.41741943359375,302.8268569842618,298.75763678112514,301.53108464736687,1888736
1/10/2014,301.0082092285156,306.759680062716,298.39390934938746,301.4174150923236,3075254
1/13/2014,305.91864013671875,307.7827668709785,298.66681944890803,300.1217124362362,2376290
1/14/2014,305.6685485839844,307.3507996350056,303.8499047991619,304.19090050881607,1788560
1/15/2014,309.4194641113281,310.3969961280179,304.4409218001308,305.98677993110573,2313920
1/16/2014,306.009521484375,311.44272493661384,304.7819314710612,311.169939489344,2250588
1/17/2014,302.34954833984375,306.8961580893151,299.64430998884757,306.8961580893151,21687428
1/20/2014,304.6455383300781,307.6690444929589,302.9860426525772,303.75894400221614,2800184
1/21/2014,307.3962707519531,308.62386092115383,304.622849934758,305.9641053464717,3125962
1/22/2014,307.8509521484375,311.3063924002881,306.7370548981441,307.1235056482085,3516668
1/23/2014,308.942138671875,309.6695851462566,305.87317702943915,306.89616424358445,2741370
1/24/2014,306.168701171875,306.8734201089116,301.75848431546456,304.6228428097344,4421450
1/27/2014,295.1658630371094,302.30404474636003,293.5290671402364,302.30404474636003,8530224
1/28/2014,293.0062255859375,298.25755348519783,290.34644264324504,294.62026624757345,9197712
1/29/2014,293.46087646484375,295.93878386088,291.23302700779135,294.39292573758263,5485462
1/30/2014,287.2547912597656,290.9375617152016,285.36796491095913,289.8463643024125,5712730
1/31/2014,285.7543640136719,289.3007133391996,284.2085059165018,286.4363553359002,4810492
2/3/2014,284.84503173828125,288.2549882235759,284.2084954275741,286.4136172715762,2388410
2/4/2014,286.70916748046875,288.93701710746,280.4348522813818,282.6399744122406,3704652
2/5/2014,289.8235778808594,290.8920198280028,284.208499471664,286.89100971171814,3452692
2/6/2014,294.16558837890625,295.3476955628446,286.2090230054428,290.41463613141633,6733472
2/7/2014,294.506591796875,297.5755528074947,291.93774666564434,296.6207760376435,2014734
2/10/2014,292.7561950683594,295.59782598900154,289.1643624845469,294.46117362074466,3140410
2/11/2014,293.16534423828125,294.2338140088122,290.6647092757566,293.7109428710737,2232428
2/12/2014,293.46087646484375,296.802622900124,292.6424924143974,293.98371983721023,3218480
2/13/2014,287.57305908203125,294.6203040081522,287.0047328783118,293.7109820822011,1577600
2/14/2014,291.8013916015625,292.73344099721857,286.1408572348338,288.25504174840904,2124556
2/17/2014,295.71148681640625,296.43893322112274,291.4831178692993,291.8923238158908,1825060
2/18/2014,300.258056640625,302.07670016297817,294.34746519297727,294.8475810615052,2509836
2/19/2014,304.6455383300781,305.6457978858635,297.80289715915296,298.348495803245,2030474
2/20/2014,301.3265686035156,303.46348078871273,300.4627016296154,302.7132790613623,1724218
